habitat,site_id,variable,value
bcb,13,soil_bulk density,0.575
bcb,14,soil_bulk density,0.8241
bcb,15,soil_bulk density,1.0002
bcb,16,soil_bulk density,0.6326
bcb,17,soil_bulk density,0.3076
bcb,18,soil_bulk density,0.8433
bcb,19,soil_bulk density,0.514
bcb,20,soil_bulk density,0.3838
bcb,1,soil_% moisture,0.3623
bcb,2,soil_% moisture,0.6891
bcb,3,soil_% moisture,0.7499
bcb,4,soil_% moisture,0.6296
bcb,5,soil_% moisture,0.7417
bcb,6,soil_% moisture,0.8082
bcb,7,soil_% moisture,0.7679
bcb,8,soil_% moisture,0.6776
bcb,9,soil_% moisture,0.8069
bcb,10,soil_% moisture,0.7308
bcb,11,soil_% moisture,0.5129
bcb,12,soil_% moisture,0.7402
bcb,13,soil_% moisture,0.4403
bcb,14,soil_% moisture,0.5041
bcb,15,soil_% moisture,0.351
bcb,16,soil_% moisture,0.7033
bcb,17,soil_% moisture,0.7711
bcb,18,soil_% moisture,0.5829
bcb,19,soil_% moisture,0.6724
bcb,20,soil_% moisture,0.7952
bcb,1,soil_% organic,0.0514
bcb,2,soil_% organic,0.1369
bcb,3,soil_% organic,0.1975
bcb,4,soil_% organic,0.146
bcb,5,soil_% organic,0.1631
bcb,6,soil_% organic,0.399
bcb,7,soil_% organic,0.3088
bcb,8,soil_% organic,0.2471
bcb,9,soil_% organic,0.4374
bcb,10,soil_% organic,0.267
bcb,11,soil_% organic,0.091
bcb,12,soil_% organic,0.2858
bcb,13,soil_% organic,0.0684
bcb,14,soil_% organic,0.0897
bcb,15,soil_% organic,0.0481
bcb,16,soil_% organic,0.1835
bcb,17,soil_% organic,0.2936
bcb,18,soil_% organic,0.0866
bcb,19,soil_% organic,0.141
bcb,20,soil_% organic,0.2876
vcb,1,burrow_density,3.3333
vcb,2,burrow_density,9
vcb,3,burrow_density,9.3333
vcb,4,burrow_density,18.3333
vcb,5,burrow_density,0.6667
vcb,6,burrow_density,5.6667
vcb,7,burrow_density,10
vcb,8,burrow_density,18.3333
vcb,9,burrow_density,8.6667
vcb,10,burrow_density,19
vcb,11,burrow_density,16.6667
vcb,12,burrow_density,20.6667
vcb,13,burrow_density,0
vcb,14,burrow_density,10
vcb,15,burrow_density,3.6667
vcb,16,burrow_density,1
vcb,17,burrow_density,1.6667
vcb,18,burrow_density,1.6667
vcb,19,burrow_density,9.3333
vcb,20,burrow_density,8.3333
vcb,1,spalt,68
vcb,2,spalt,56
vcb,3,spalt,68
vcb,4,spalt,32
vcb,5,spalt,84
vcb,6,spalt,84
vcb,7,spalt,60
vcb,8,spalt,72
vcb,9,spalt,88
vcb,10,spalt,60
vcb,11,spalt,84
vcb,12,spalt,88
vcb,13,spalt,100
vcb,14,spalt,80
vcb,15,spalt,88
vcb,16,spalt,68
vcb,17,spalt,92
vcb,18,spalt,100
vcb,19,spalt,88
vcb,20,spalt,68
vcb,1,sa_height,97.58
vcb,2,sa_height,79
vcb,3,sa_height,94.83
vcb,4,sa_height,45.17
vcb,5,sa_height,104.58
vcb,6,sa_height,52
vcb,7,sa_height,78.08
vcb,8,sa_height,78
vcb,9,sa_height,100.92
vcb,10,sa_height,80.08
vcb,11,sa_height,65.75
vcb,12,sa_height,86.58
vcb,13,sa_height,78.67
vcb,14,sa_height,70.17
vcb,15,sa_height,72.92
vcb,16,sa_height,61.83
vcb,17,sa_height,90.25
vcb,18,sa_height,96.17
vcb,19,sa_height,52.17
vcb,20,sa_height,80.5
vcb,1,mean_elevation,0.2524
vcb,2,mean_elevation,0.2892
vcb,3,mean_elevation,0.2155
vcb,4,mean_elevation,0.2206
vcb,5,mean_elevation,0.3216
vcb,6,mean_elevation,0.297
vcb,7,mean_elevation,-0.101
vcb,8,mean_elevation,0.1683
vcb,9,mean_elevation,0.1883
vcb,10,mean_elevation,0.203
vcb,11,mean_elevation,0.603
vcb,12,mean_elevation,0.3855
vcb,13,mean_elevation,0.5087
vcb,14,mean_elevation,0.426
vcb,15,mean_elevation,0.3805
vcb,16,mean_elevation,0.392
vcb,17,mean_elevation,0.4344
vcb,18,mean_elevation,-0.052
vcb,19,mean_elevation,0.478
vcb,20,mean_elevation,0.033
vcb,1,soil_bulk density,NA
vcb,2,soil_bulk density,0.4541
vcb,3,soil_bulk density,0.4226
vcb,4,soil_bulk density,0.3994
vcb,5,soil_bulk density,0.517
vcb,6,soil_bulk density,0.4016
vcb,7,soil_bulk density,0.3553
vcb,8,soil_bulk density,0.3126
vcb,9,soil_bulk density,0.3547
vcb,10,soil_bulk density,0.3615
vcb,11,soil_bulk density,0.3107
vcb,12,soil_bulk density,0.1949
vcb,13,soil_bulk density,1.5243
vcb,14,soil_bulk density,0.3402
vcb,15,soil_bulk density,0.2297
vcb,16,soil_bulk density,0.3624
vcb,17,soil_bulk density,0.286
vcb,18,soil_bulk density,0.4541
vcb,19,soil_bulk density,0.4342
vcb,20,soil_bulk density,0.3538
vcb,1,soil_% moisture,NA
vcb,2,soil_% moisture,0.688
vcb,3,soil_% moisture,0.7119
vcb,4,soil_% moisture,0.7389
vcb,5,soil_% moisture,0.7432
vcb,6,soil_% moisture,0.7358
vcb,7,soil_% moisture,0.7077
vcb,8,soil_% moisture,0.7365
vcb,9,soil_% moisture,0.7707
vcb,10,soil_% moisture,0.7449
vcb,11,soil_% moisture,0.7596
vcb,12,soil_% moisture,0.8249
vcb,13,soil_% moisture,0.2495
vcb,14,soil_% moisture,0.7562
vcb,15,soil_% moisture,0.8117
vcb,16,soil_% moisture,0.7468
vcb,17,soil_% moisture,0.8099
vcb,18,soil_% moisture,0.7749
vcb,19,soil_% moisture,0.7366
vcb,20,soil_% moisture,0.7738
vcb,1,soil_% organic,NA
vcb,2,soil_% organic,0.205
vcb,3,soil_% organic,0.2101
vcb,4,soil_% organic,0.234
vcb,5,soil_% organic,0.2379
vcb,6,soil_% organic,0.2567
vcb,7,soil_% organic,0.1974
vcb,8,soil_% organic,0.2131
vcb,9,soil_% organic,0.2705
vcb,10,soil_% organic,0.2922
vcb,11,soil_% organic,0.3276
vcb,12,soil_% organic,0.3888
vcb,13,soil_% organic,0.0231
vcb,14,soil_% organic,0.2565
vcb,15,soil_% organic,0.3877
vcb,16,soil_% organic,0.2737
vcb,17,soil_% organic,0.354
vcb,18,soil_% organic,0.2448
vcb,19,soil_% organic,0.3093
vcb,20,soil_% organic,0.2446
mp,1,burrow_density,0
mp,2,burrow_density,0
mp,3,burrow_density,0
mp,4,burrow_density,0
mp,5,burrow_density,0
mp,6,burrow_density,0
mp,7,burrow_density,0
mp,8,burrow_density,0
mp,9,burrow_density,0
mp,10,burrow_density,0.3333
mp,11,burrow_density,0.3333
mp,12,burrow_density,0.6667
mp,13,burrow_density,1.6667
mp,14,burrow_density,2.6667
mp,15,burrow_density,5.3333
mp,16,burrow_density,5.6667
mp,17,burrow_density,7
mp,18,burrow_density,9.3333
mp,19,burrow_density,14
mp,20,burrow_density,26.3333
mp,1,spalt,0
mp,2,spalt,96
mp,3,spalt,84
mp,4,spalt,96
mp,5,spalt,36
mp,6,spalt,76
mp,7,spalt,0
mp,8,spalt,0
mp,9,spalt,0
mp,10,spalt,0
mp,11,spalt,0
mp,12,spalt,0
mp,13,spalt,44
mp,14,spalt,88
mp,15,spalt,0
mp,16,spalt,0
mp,17,spalt,0
mp,18,spalt,0
mp,19,spalt,0
mp,20,spalt,0
mp,1,sppat,100
mp,2,sppat,0
mp,3,sppat,0
mp,4,sppat,0
mp,5,sppat,0
mp,6,sppat,28
mp,7,sppat,100
mp,8,sppat,52
mp,9,sppat,100
mp,10,sppat,52
mp,11,sppat,96
mp,12,sppat,0
mp,13,sppat,4
mp,14,sppat,0
mp,15,sppat,84
mp,16,sppat,0
mp,17,sppat,0
mp,18,sppat,100
mp,19,sppat,0
mp,20,sppat,88
mp,1,dispi,4
mp,2,dispi,0
mp,3,dispi,0
mp,4,dispi,0
mp,5,dispi,0
mp,6,dispi,2
mp,7,dispi,8
mp,8,dispi,62
mp,9,dispi,8
mp,10,dispi,96
mp,11,dispi,36
mp,12,dispi,100
mp,13,dispi,8
mp,14,dispi,0
mp,15,dispi,32
mp,16,dispi,0
mp,17,dispi,52
mp,18,dispi,12
mp,19,dispi,100
mp,20,dispi,24
mp,2,bare,1
mp,3,bare,16
mp,4,bare,4
mp,5,bare,64
mp,6,bare,16
mp,8,bare,0
mp,9,bare,0
mp,10,bare,0
mp,11,bare,4
mp,12,bare,0
mp,13,bare,48
mp,14,bare,12
mp,15,bare,0
mp,16,bare,100
mp,17,bare,36
mp,20,bare,4
mp,1,sa_height,NA
mp,2,sa_height,21.83
mp,3,sa_height,25.75
mp,4,sa_height,31.25
mp,5,sa_height,10.33
mp,6,sa_height,31.09
mp,7,sa_height,NA
mp,8,sa_height,NA
mp,9,sa_height,NA
mp,10,sa_height,NA
mp,11,sa_height,NA
mp,12,sa_height,NA
mp,13,sa_height,17.5
mp,14,sa_height,NA
mp,15,sa_height,NA
mp,16,sa_height,NA
mp,17,sa_height,NA
mp,18,sa_height,NA
mp,19,sa_height,NA
mp,20,sa_height,NA
mp,1,sp_height,33.08
mp,2,sp_height,NA
mp,3,sp_height,NA
mp,4,sp_height,NA
mp,5,sp_height,NA
mp,6,sp_height,21.17
mp,7,sp_height,40.83
mp,8,sp_height,37
mp,9,sp_height,51.25
mp,10,sp_height,33.92
mp,11,sp_height,25.83
mp,12,sp_height,NA
mp,13,sp_height,16
mp,14,sp_height,NA
mp,15,sp_height,33.58
mp,16,sp_height,NA
mp,17,sp_height,NA
mp,18,sp_height,36.58
mp,19,sp_height,NA
mp,20,sp_height,27.08
mp,1,ds_height,31.67
mp,2,ds_height,NA
mp,3,ds_height,NA
mp,4,ds_height,NA
mp,5,ds_height,NA
mp,6,ds_height,21.83
mp,7,ds_height,18.83
mp,8,ds_height,26.25
mp,9,ds_height,18.25
mp,10,ds_height,33.33
mp,11,ds_height,27.08
mp,12,ds_height,36.5
mp,13,ds_height,18.57
mp,14,ds_height,NA
mp,15,ds_height,30.73
mp,16,ds_height,NA
mp,17,ds_height,21.58
mp,18,ds_height,20
mp,19,ds_height,40.75
mp,20,ds_height,22.17
mp,1,mean_elevation,0.6653
mp,2,mean_elevation,0.6163
mp,3,mean_elevation,0.6522
mp,4,mean_elevation,0.688
mp,5,mean_elevation,0.6535
mp,6,mean_elevation,0.643
mp,7,mean_elevation,0.773
mp,8,mean_elevation,0.867
mp,9,mean_elevation,0.847
mp,10,mean_elevation,0.3997
mp,11,mean_elevation,0.628
mp,12,mean_elevation,0.694
mp,13,mean_elevation,0.6763
mp,14,mean_elevation,0.557
mp,15,mean_elevation,0.5153
mp,16,mean_elevation,0.588
mp,17,mean_elevation,0.5826
mp,18,mean_elevation,0.755
mp,19,mean_elevation,0.6092
mp,20,mean_elevation,0.4181
mp,1,soil_bulk density,0.1673
mp,2,soil_bulk density,0.1939
mp,3,soil_bulk density,0.1737
mp,4,soil_bulk density,0.1028
mp,5,soil_bulk density,0.1987
mp,6,soil_bulk density,0.1276
mp,7,soil_bulk density,0.2253
mp,8,soil_bulk density,0.2085
mp,9,soil_bulk density,0.181
mp,10,soil_bulk density,0.547
mp,11,soil_bulk density,0.1472
mp,12,soil_bulk density,0.1929
mp,13,soil_bulk density,0.1915
mp,14,soil_bulk density,0.1677
mp,15,soil_bulk density,0.3479
mp,16,soil_bulk density,0.2319
mp,17,soil_bulk density,0.2952
mp,18,soil_bulk density,0.2687
mp,19,soil_bulk density,0.1426
mp,20,soil_bulk density,1.0114
mp,1,soil_% moisture,0.8144
mp,2,soil_% moisture,0.805
mp,3,soil_% moisture,0.8472
mp,4,soil_% moisture,0.859
mp,5,soil_% moisture,0.8156
mp,6,soil_% moisture,0.8546
mp,7,soil_% moisture,0.8297
mp,8,soil_% moisture,0.8435
mp,9,soil_% moisture,0.8051
mp,10,soil_% moisture,0.6503
mp,11,soil_% moisture,0.8097
mp,12,soil_% moisture,0.8119
mp,13,soil_% moisture,0.8501
mp,14,soil_% moisture,0.8314
mp,15,soil_% moisture,0.7688
mp,16,soil_% moisture,0.8201
mp,17,soil_% moisture,0.7871
mp,18,soil_% moisture,0.7996
mp,19,soil_% moisture,0.7848
mp,20,soil_% moisture,0.4328
mp,1,soil_% organic,0.4871
mp,2,soil_% organic,0.5621
mp,3,soil_% organic,0.5725
mp,4,soil_% organic,0.5775
mp,5,soil_% organic,0.5623
mp,6,soil_% organic,0.636
mp,7,soil_% organic,0.5588
mp,8,soil_% organic,0.5901
mp,9,soil_% organic,0.5558
mp,10,soil_% organic,0.1803
mp,11,soil_% organic,0.4594
mp,12,soil_% organic,0.4375
mp,13,soil_% organic,0.6372
mp,14,soil_% organic,0.542
mp,15,soil_% organic,0.3464
mp,16,soil_% organic,0.4984
mp,17,soil_% organic,0.4271
mp,18,soil_% organic,0.4977
mp,19,soil_% organic,0.424
mp,20,soil_% organic,0.0851
mp,1,shear_10,NA
mp,2,shear_10,NA
mp,3,shear_10,NA
mp,4,shear_10,NA
mp,5,shear_10,NA
mp,6,shear_10,NA
mp,7,shear_10,NA
mp,8,shear_10,NA
mp,9,shear_10,NA
mp,10,shear_10,NA
mp,11,shear_10,NA
mp,12,shear_10,NA
mp,13,shear_10,NA
mp,14,shear_10,NA
mp,15,shear_10,NA
mp,16,shear_10,NA
mp,17,shear_10,NA
mp,18,shear_10,NA
mp,19,shear_10,NA
mp,20,shear_10,NA
